Name,measure,value
Jamal Crawford ,FGM,-0.9313260211711027
Yao Ming ,FGM,-0.056019610296006224
Richard Jefferson ,FGM,-0.8437953800835933
Jason Terry ,FGM,-0.14355025138351635
Deron Williams ,FGM,-0.5812034568210646
Tim Duncan ,FGM,-0.056019610296006224
Monta Ellis ,FGM,0.2941029540540319
Rudy Gay ,FGM,-0.23108089247102567
Pau Gasol ,FGM,-0.14355025138351635
Andre Iguodala ,FGM,-0.756264738996084
Corey Maggette ,FGM,-1.5440405087836704
O.J. Mayo ,FGM,-0.4936728157335545
John Salmons ,FGM,-0.8437953800835933
Richard Hamilton ,FGM,-0.40614217464604513
Ray Allen ,FGM,-1.0188566622586128
LaMarcus Aldridge ,FGM,-0.056019610296006224
Josh Howard ,FGM,-0.5812034568210646
Maurice Williams ,FGM,-0.8437953800835933
Shaquille O'neal ,FGM,-0.5812034568210646
Rashard Lewis ,FGM,-1.1939179444336323
Chauncey Billups ,FGM,-1.9816937142212188
Allen Iverson ,FGM,-1.1939179444336323
Nate Robinson ,FGM,-1.1939179444336323
Dwyane Wade ,FGA,2.596832066757699
LeBron James ,FGA,1.6972366625691189
Kobe Bryant ,FGA,2.125615426468442
Dirk Nowitzki ,FGA,1.7400745389590517
Danny Granger ,FGA,1.3545336514496613
Kevin Durant ,FGA,1.2260200222798638
Kevin Martin ,FGA,-0.016278393028174402
Al Jefferson ,FGA,1.52588515700939
Chris Paul ,FGA,0.06939735975169076
Carmelo Anthony ,FGA,1.0118306403302022
Chris Bosh ,FGA,0.1979109889214866
Brandon Roy ,FGA,0.4121003708711483
Antawn Jamison ,FGA,0.7976412583805403
Tony Parker ,FGA,0.6691276292107431
Amare Stoudemire ,FGA,-0.787360168046957
Joe Johnson ,FGA,0.8833170111604048
Devin Harris ,FGA,-0.3589814041476335
Michael Redd ,FGA,0.2835867417013525
David West ,FGA,0.4549382472610813
Zachary Randolph ,FGA,0.6691276292107431
Caron Butler ,FGA,0.11223523614162219
Vince Carter ,FGA,0.3692624944812169
Stephen Jackson ,FGA,0.4121003708711483
Ben Gordon ,FGA,0.026559483361757796
Dwight Howard ,FGA,-1.5156040666758066
Paul Pierce ,FGA,-0.5731707860972952
Al Harrington ,FGA,0.2835867417013525
Jamal Crawford ,FGA,-0.10195414580803956
Yao Ming ,FGA,-1.087225302776483
Richard Jefferson ,FGA,-0.4446571569274979
Jason Terry ,FGA,-0.0591162694181066
Deron Williams ,FGA,-0.6160086624872274
Tim Duncan ,FGA,-0.4874950333174301
Monta Ellis ,FGA,0.5406140000409457
Rudy Gay ,FGA,0.026559483361757796
Pau Gasol ,FGA,-1.301414684726145
Andre Iguodala ,FGA,-0.8301980444368892
Corey Maggette ,FGA,-1.5156040666758066
O.J. Mayo ,FGA,-0.14479202219797174
John Salmons ,FGA,-0.9158737972167535
Richard Hamilton ,FGA,-0.14479202219797174
Ray Allen ,FGA,-1.1729010555563484
LaMarcus Aldridge ,FGA,-0.27330565136776835
Josh Howard ,FGA,-0.3589814041476335
Maurice Williams ,FGA,-0.8730359208268214
Shaquille O'neal ,FGA,-2.0296585833549954
Rashard Lewis ,FGA,-0.9158737972167535
Chauncey Billups ,FGA,-1.5156040666758066
Allen Iverson ,FGA,-0.5731707860972952
Nate Robinson ,FGA,-0.8730359208268214
Dwyane Wade ,FGP,0.5136016705752411
LeBron James ,FGP,0.46491904777190063
Kobe Bryant ,FGP,-0.07058980306484251
Dirk Nowitzki ,FGP,0.2215059337551986
Danny Granger ,FGP,-0.5574160310982467
Kevin Durant ,FGP,0.14848199955018798
Kevin Martin ,FGP,-1.2146314389433421
Al Jefferson ,FGP,0.6596495389852622
Chris Paul ,FGP,0.8056974073952835
Carmelo Anthony ,FGP,-0.6547812767049275
Chris Bosh ,FGP,0.4162364249685602
Brandon Roy ,FGP,0.24584724515686882
Antawn Jamison ,FGP,-0.04624849166317231
Tony Parker ,FGP,0.8787213416002941
Amare Stoudemire ,FGP,1.681984617855411
Joe Johnson ,FGP,-0.8008291451149486
Devin Harris ,FGP,-0.7764878337132785
Michael Redd ,FGP,-0.362685539884885
David West ,FGP,0.05111675394350716
Zachary Randolph ,FGP,0.12414068814851778
Caron Butler ,FGP,-0.4113681626882254
Vince Carter ,FGP,-0.8008291451149486
Stephen Jackson ,FGP,-1.3606793073533634
Ben Gordon ,FGP,-0.362685539884885
Dwight Howard ,FGP,2.485247894110525
Paul Pierce ,FGP,-0.31400291708154454
Al Harrington ,FGP,-0.7521465223116083
Jamal Crawford ,FGP,-1.4580445529600443
Yao Ming ,FGP,1.9010564204704428
Richard Jefferson ,FGP,-0.7521465223116083
Jason Terry ,FGP,-0.16795504867152333
Deron Williams ,FGP,0.026775442541836957
Tim Duncan ,FGP,0.8300387187969537
Monta Ellis ,FGP,-0.4600507854915658
Rudy Gay ,FGP,-0.4113681626882254
Pau Gasol ,FGP,2.363541337102174
Andre Iguodala ,FGP,0.07545806534517736
Corey Maggette ,FGP,-0.21663767147486374
O.J. Mayo ,FGP,-0.7764878337132785
John Salmons ,FGP,0.05111675394350716
Richard Hamilton ,FGP,-0.5574160310982467
Ray Allen ,FGP,0.24584724515686882
LaMarcus Aldridge ,FGP,0.34321249076354965
Josh Howard ,FGP,-0.4600507854915658
Maurice Williams ,FGP,-0.07058980306484251
Shaquille O'neal ,FGP,3.3858764159723225
Rashard Lewis ,FGP,-0.7521465223116083
Chauncey Billups ,FGP,-1.2633140617466825
Allen Iverson ,FGP,-1.2876553731483529
Nate Robinson ,FGP,-0.8008291451149486
Dwyane Wade ,FTM,1.9174752606275898
LeBron James ,FTM,1.7787288597138713
Kobe Bryant ,FTM,0.8075040533178421
Dirk Nowitzki ,FTM,0.876877253774701
Danny Granger ,FTM,0.876877253774701
Kevin Durant ,FTM,0.9462504542315601
Kevin Martin ,FTM,2.958073267480479
Al Jefferson ,FTM,-0.7187063567330616
Chris Paul ,FTM,0.7381308528609825
Carmelo Anthony ,FTM,0.5993844519472639
Chris Bosh ,FTM,1.2237432560589974
Brandon Roy ,FTM,0.3912648505766862
Antawn Jamison ,FTM,-0.3718403544487653
Tony Parker ,FTM,-0.5799599558193432
Amare Stoudemire ,FTM,0.9462504542315601
Joe Johnson ,FTM,-0.6493331562762026
Devin Harris ,FTM,1.7093556592570123
Michael Redd ,FTM,-0.5105867553624839
David West ,FTM,0.04439884829238996
Zachary Randolph ,FTM,-0.7880795571899208
Caron Butler ,FTM,0.2525184496629676
Vince Carter ,FTM,-0.3718403544487653
Stephen Jackson ,FTM,0.18314524920610858
Ben Gordon ,FTM,-0.5105867553624839
Dwight Howard ,FTM,1.1543700556021383
Paul Pierce ,FTM,0.6687576524041234
Al Harrington ,FTM,-1.0655723590173578
Jamal Crawford ,FTM,-0.09434755262132867
Yao Ming ,FTM,0.11377204874924958
Richard Jefferson ,FTM,0.2525184496629676
Jason Terry ,FTM,-1.412438361301654
Deron Williams ,FTM,0.04439884829238996
Tim Duncan ,FTM,-0.16372075307818768
Monta Ellis ,FTM,-1.134945559474217
Rudy Gay ,FTM,-0.9961991585604988
Pau Gasol ,FTM,-0.3718403544487653
Andre Iguodala ,FTM,-0.09434755262132867
Corey Maggette ,FTM,1.362489656972716
O.J. Mayo ,FTM,-1.2043187599310765
John Salmons ,FTM,-0.7880795571899208
Richard Hamilton ,FTM,-0.9961991585604988
Ray Allen ,FTM,-1.2043187599310765
LaMarcus Aldridge ,FTM,-1.0655723590173578
Josh Howard ,FTM,-0.9961991585604988
Maurice Williams ,FTM,-1.4818115617585135
Shaquille O'neal ,FTM,-0.4412135549056249
Rashard Lewis ,FTM,-1.343065160844795
Chauncey Billups ,FTM,0.3912648505766862
Allen Iverson ,FTM,0.04439884829238996
Nate Robinson ,FTM,-0.9268259581036394
Dwyane Wade ,FTA,2.1107720826717573
LeBron James ,FTA,1.8965892229384484
Kobe Bryant ,FTA,0.5579463496052693
Dirk Nowitzki ,FTA,0.45085491973861497
